0.799633	28754.500000
0.803451	28552.156485
0.807268	28340.000000
0.811086	28528.000000
0.814904	28470.722789
0.818722	28483.500000
0.822540	28370.177284
0.826358	28410.000000
0.830176	28458.666667
0.833994	28262.833549
0.837812	28217.000000
0.841630	27905.000000
0.845448	28082.511785
0.849266	28043.666667
0.853084	28121.333333
0.856902	27896.190317
0.860720	27924.000000
0.864538	27777.132511
0.868356	27719.333333
0.872174	27520.333333
0.875992	27560.229428
0.879810	27346.333333
0.883628	27435.333333
0.887446	27337.229078
0.891264	27269.333333
0.895082	27246.666667
0.898900	27230.818396
0.902718	27074.333333
0.906536	27100.666667
0.910354	26989.926217
0.914172	26868.000000
0.917990	26904.953930
0.921808	26808.333333
0.925626	26762.333333
0.929444	26844.288750
0.933262	26662.000000
0.937080	26826.333333
0.940898	26671.758668
0.944716	26680.000000
0.948534	26626.333333
0.952352	26563.948950
0.956170	26552.333333
0.959988	26452.000000
0.963806	26473.629254
0.967624	26557.666667
0.971442	26299.000000
0.975260	26389.829539
0.979078	26399.000000
0.982896	26413.199246
0.986714	26422.000000
0.990532	26170.666667
0.994350	26284.736501
0.998168	26328.333333
1.001986	26169.000000
1.005804	26266.342256
1.009622	26219.666667
1.013440	26313.333333
1.017257	26274.617717
1.021075	26236.666667
1.024893	26363.000000
1.028711	26267.372553
1.032529	26343.333333
1.036347	26251.333333
1.040165	26312.714913
1.043983	26382.666667
1.047801	26228.666667
1.051619	26356.393234
1.055437	26285.333333
1.059255	26389.171489
1.063073	26569.000000
1.066891	26455.666667
1.070709	26447.201467
1.074527	26523.000000
1.078345	26421.333333
1.082163	26555.117338
1.085981	26642.333333
1.089799	26562.000000
1.093617	26684.213965
1.097435	26702.666667
1.101253	26844.666667
1.105071	26847.310251
1.108889	26829.666667
1.112707	26882.333333
1.116525	26979.654430
1.120343	27013.000000
1.124161	27213.000000
1.127979	27121.202369
1.131797	27258.333333
1.135615	27035.666667
1.139433	27255.024975
1.143251	27234.666667
1.147069	27487.333333
1.150887	27386.203992
1.154705	27324.666667
1.158523	27465.574004
1.162341	27447.666667
1.166159	27606.333333
1.169977	27563.889925
1.173795	27523.333333
1.177613	27619.000000
1.181431	27513.299114
1.185249	27674.666667
1.189067	27644.000000
1.192885	27590.977392
1.196703	27676.666667
1.200521	27585.000000
1.204339	27589.252486
1.208157	27664.666667
1.211975	27375.666667
1.215793	27569.988693
1.219611	27382.333333
1.223429	27386.333333
1.227246	27581.180169
1.231064	27756.666667
1.234882	27649.000000
1.238700	27550.041559
1.242518	27654.250000
1.246336	27690.750000
1.250154	27493.456820
1.253972	27449.750000
1.257790	27435.500000
1.261608	27494.096129
1.265426	27503.750000
1.269244	27548.250000
1.273062	27356.303175
1.276880	27221.750000
1.280698	27353.000000
1.284516	27348.699319
1.288334	27231.250000
1.292152	27299.000000
1.295970	27352.704230
1.299788	27503.500000
1.303606	27379.250000
1.307424	27286.796296
1.311242	27424.750000
1.315060	27184.500000
1.318878	27195.741610
1.322696	27018.000000
1.326514	27076.000000
1.330332	26972.157104
1.334150	26893.250000
1.337968	26751.750000
1.341786	26697.852936
1.345604	26697.500000
1.349422	26339.750000
1.353240	26413.955032
1.357058	26466.750000
1.360876	26215.250000
1.364694	26123.045637
1.368512	25968.750000
1.372330	25895.250000
1.376148	25829.810136
1.379966	25771.000000
1.383784	25447.750000
1.387602	25476.411785
1.391420	25420.500000
1.395238	25275.750000
1.399056	25157.478377
1.402874	25144.500000
1.406692	24934.750000
1.410510	24809.151714
1.414328	24770.500000
1.418146	24485.000000
1.421964	24533.984864
1.425782	24433.750000
1.429600	24129.500000
1.433418	24030.500000
1.437235	24110.322829
1.441053	24142.000000
1.444871	23939.750000
1.448689	23769.684362
1.452507	23631.250000
1.456325	23628.500000
1.460143	23469.063818
1.463961	23273.500000
1.467779	23311.750000
1.471597	23229.547017
1.475415	23365.500000
1.479233	22974.750000
1.483051	22939.755373
1.486869	22760.500000
1.490687	22775.250000
1.494505	22654.723630
1.498323	22556.800000
1.502141	22469.800000
1.505959	22388.469705
1.509777	22413.000000
1.513595	22249.800000
1.517413	21966.333333
1.521231	22071.000000
1.525049	22047.200000
1.528867	21772.800000
1.532685	21728.957144
1.536503	21582.200000
1.540321	21411.800000
1.544139	21469.909546
1.547957	21345.600000
1.551775	21166.200000
1.555593	21160.584828
1.559411	21131.800000
1.563229	21011.400000
1.567047	20884.376962
1.570865	20812.600000
1.574683	20553.800000
1.578501	20638.988492
1.582319	20663.600000
1.586137	20672.600000
1.589955	20323.600000
1.593773	20262.274885
1.597591	20177.400000
1.601409	20128.600000
1.605227	20034.960896
1.609045	19965.200000
1.612863	19776.400000
1.616681	19774.562472
1.620499	19755.000000
1.624317	19513.800000
1.628135	19529.000000
1.631953	19443.750000
1.635771	19300.000000
1.639589	19256.200000
1.643407	19175.993048
1.647224	18988.400000
1.651042	19036.400000
1.654860	18958.903555
1.658678	19001.000000
1.662496	18837.400000
1.666314	18734.610417
1.670132	18608.400000
1.673950	18581.600000
1.677768	18475.000000
1.681586	18450.980262
1.685404	18365.800000
1.689222	18339.200000
1.693040	18249.259260
1.696858	18185.800000
1.700676	18035.800000
1.704494	17978.689352
1.708312	17987.400000
1.712130	17979.800000
1.715948	17837.400000
1.719766	17695.748053
1.723584	17793.800000
1.727402	17680.000000
1.731220	17451.363548
1.735038	17485.000000
1.738856	17517.800000
1.742674	17412.200000
1.746492	17258.671432
1.750310	17389.200000
1.754128	17063.000000
1.757946	16573.990540
1.761764	15774.800000
1.765582	16943.148704
